Symbol,Name,Currency
006400.KS,Samsung SDI Co Ltd,KRW
006405.KS,Samsung SDI Co Ltd Preference Shares,KRW
0065.HK,Grand Ocean Advanced Resources Co Ltd,HKD
0065.KL,EXCEL FORCE MSC BHD,MYR
00652.TW,FBAM/ETF TWD,TWD
00653L.TW,FBAM/ETF TWD,TWD
00654R.TW,FBAM/ETF TWD,TWD
0066.HK,MTR Corporation Limited,HKD
0066.KL,VSOLAR GROUP BERHAD,MYR
006650.KS,Korea Petro Chemical Ind Co Ltd,KRW
006660.KS,"Samsung Climate Control Co., Ltd",KRW
0067.HK,China Lumena New Materials Corp,HKD
0068.HK,Lee Hing Development Ltd,HKD
0068.KL,ASDION BHD,MYR
006805.KS,Mirae Asset Daewoo Co Ltd Preference Shares,KRW
006840.KS,AK Holdings Inc,KRW
006880.KS,Sing Song Holdings Co Ltd,KRW
006890.KS,"TAEKYUNG CHEMICAL CO.,LTD",KRW
0069.HK,Shangri-La Asia Limited,HKD
0069.KL,VIVOCOM INTL HOLDINGS BERHAD,MYR
0070.HK,Rich Goldman Holdings Ltd,HKD
0070.KL,MQ TECHNOLOGY BHD,MYR
007070.KS,GS Retail Co Ltd,KRW
0071.HK,Miramar Hotel & Investment Co. Ltd,HKD
007110.KS,"Il Shin Stone Co., Ltd.",KRW
007160.KS,Sajo Industries Co Ltd,KRW
007190.KS,N/A,N/A
007197.KS,N/A,N/A
0072.HK,Modern Media Holdings Ltd,HKD
0072.KL,AT SYSTEMATIZATION BHD,MYR
007210.KS,Byuksan Corp,KRW
007280.KS,"Korea Steel Shapes Co., Ltd.",KRW
0073.HK,Asian Citrus Holdings Ltd.,HKD
007310.KS,Ottogi Corp,KRW
007340.KS,DTR Automotive Corporation,KRW
0074.KL,GREEN OCEAN CORPORATION BERHAD,MYR
0075.HK,Y. T. Realty Group Limited,HKD
0075.KL,MEXTER TECHNOLOGY BHD,MYR
007570.KS,"Ilyang Pharmaceutical Co., Ltd",KRW
007575.KS,"Ilyang Pharmaceutical Co., Ltd Preference Shares",KRW
007590.KS,Dongbang Agro Corp,KRW
0076.HK,South Sea Petroleum Holdings Limited,HKD
007610.KS,Seondo Electric Co Ltd,KRW
007630.KS,Polus BioPharm Inc,KRW
007660.KS,Isu Petasys Co Ltd,KRW
007690.KS,Kukdo Chemical Co Ltd,KRW
0078.HK,Regal Hotels International Holdings Ltd.,HKD
0078.KL,GD EXPRESS CARRIER BHD,MYR
007810.KS,"Korea Circuit Co., Ltd.",KRW
007860.KS,Seoyon Co Ltd,KRW
0079.HK,Century Legend Holdings Ltd,HKD
0079.KL,ORION IXL BERHAD,MYR
007980.KS,Pan-Pacific Co Ltd,KRW
0080.HK,China New Economy Fund Ltd,HKD
0080.KL,STRAITS INTER LOGISTICS BERHAD,MYR
008000.KS,N/A,N/A
008020.KS,N/A,N/A
008040.KS,Sajodongaone Co Ltd,KRW
008060.KS,Daeduck Electronics Co Ltd,KRW
0081.HK,CHINA OVERSEAS GRAND OCEANS GROUP LTD.,HKD
0081.KL,MEGA SUN CITY HOLDINGS BERHAD,MYR
008110.KS,Daidong Electronics Ltd,KRW
0082.HK,V1 Group Ltd,HKD
0082.KL,GREEN PACKET BHD,MYR
008250.KS,Eagon Industrial  Co Ltd.,KRW
008260.KS,"NI STEEL CO.,LTD",KRW
0083.HK,Sino Land Company Limited,HKD
0083.KL,NOTION VTEC BHD,MYR
008350.KS,Namsun Aluminum Co Ltd,KRW
0084.HK,Stelux Holdings International Limited,HKD
0084.KL,TECHFAST HOLDINGS BHD,MYR
008420.KS,Moonbae Steel Co Ltd,KRW
0085.HK,China Electronics Huada Technology Co Ld,HKD
0085.KL,MLABS SYSTEMS BHD,MYR
008500.KS,"Iljeong Industrial Co., Ltd",KRW
008560.KS,MERITZ SECURITIES CO LTD,KRW
0086.HK,Sun Hung Kai & Co. Limited,HKD
0086.KL,YGL CONVERGENCE BHD,MYR
008600.KS,Willbes & Co Ltd,KRW
0087.HK,SWIRE PAC LTD/REG SH B NPV,HKD
008700.KS,Anam Electronics Co Ltd,KRW
008730.KS,Youlchon Chemical Co. Ltd.,KRW
008770.KS,Hotel Shilla Co Ltd,KRW
008775.KS,Hotel Shilla Co Ltd Preference Shares,KRW
0088.HK,Tai Cheung Holdings Ltd,HKD
008870.KS,Kumbi Co Ltd,KRW
0089.HK,Tai Sang Land Development,HKD
0089.KL,TEX CYCLE TECHNOLOGY (M) BHD,MYR
008900.KS,N/A,N/A
008930.KS,Hanmi Science Co Ltd,KRW
0090.HK,AMBER ENERGY LTD,HKD
0090.KL,ELSOFT RESEARCH BHD,MYR
009070.KS,KCTC,KRW
0091.HK,N/A,HKD
0091.KL,DAYA MATERIALS BHD,MYR
009140.KS,Kyungin Electronics Co Ltd,KRW
009150.KS,"Samsung Electro-Mechanics Co., Ltd.",KRW
009155.KS,"Samsung Electro-Mechanics Co., Ltd. Preference Shares",KRW
009160.KS,SIMPAC Inc.,KRW
009180.KS,Hansol Logistics Co Ltd,KRW
009190.KS,Daiyang Metal Co Ltd,KRW
0092.HK,Champion Technology Holdings Ltd,HKD
0092.KL,MTOUCHE TECHNOLOGY BHD,MYR
009200.KS,Moorim Paper Co Ltd,KRW
009270.KS,Shinwon Corp,KRW
009275.KS,Shinwon Corp Preference Shares,KRW
009290.KS,"Kwangdong Pharmaceutical Co., Ltd.",KRW
0093.HK,Termbray Industries Intl (Holdings) Ltd,HKD
0093.KL,SOLUTION ENGINEERING HOLDINGS,MYR
009310.KS,Charm Engineering Co Ltd,KRW
009320.KS,Daewoo Electronic Components Co Ltd,KRW
0094.HK,Greenheart Group Ltd,HKD
0094.KL,INIX TECHNOLOGIES HOLDINGS BHD,MYR
009410.KS,Tae Young Engineering&Constructin Co Ltd,KRW
009415.KS,Tae Young Engineering&Constructin Co Ltd Preference Shares,KRW
009420.KS,HANALL BIOPHARMA,KRW
009440.KS,"KC Green Holdings Co.,Ltd.",KRW
009470.KS,Samwha Electric Co Ltd,KRW
0095.HK,LVGEM (China) Real Estate Inve Co Ltd,HKD
0095.KL,XINGHE HOLDINGS BERHAD,MYR
009540.KS,Hyundai Heavy Industries Co Ltd,KRW
0096.HK,Yusei Holdings Ltd,HKD
0096.KL,NEXGRAM HOLDINGS BERHAD,MYR
009680.KS,Motonic Corp,KRW
0097.HK,Henderson Investment Ltd,HKD
0097.KL,VITROX CORPORATION BHD,MYR
0098.HK,Xingfa Aluminium Holdings Ltd,HKD
0098.KL,BORNEO AQUA HARVEST BHD,MYR
009810.KS,NK Mulsan Co Ltd,KRW
009830.KS,Hanwha Chemical Corp,KRW
009835.KS,Hanwha Chemical Corp Preference Shares,KRW
0099.HK,Wong's International Holdings Ltd,HKD
0099.KL,SCICOM (MSC) BHD,MYR
009970.KS,Youngone Holdings Co Ltd,KRW
0100.HK,Clear Media Ltd,HKD
0100.KL,ES CERAMICS TECHNOLOGY BHD,MYR
010060.KS,Oci Co Ltd,KRW
0101.HK,Hang Lung Properties Limited,HKD
0101.KL,TMC LIFE SCIENCES BHD,MYR
010100.KS,Korea Flange Co Ltd,KRW
010120.KS,LS Industrial Systems Co Ltd,KRW
010130.KS,Korea Zinc Co Ltd,KRW
010140.KS,"Samsung Heavy Industries Co.,Ltd",KRW
0102.HK,Summit Ascent Holdings Ltd,HKD
0102.KL,CONNECTCOUNTY HOLDINGS BHD,MYR
0103.HK,Shougang Concord Century Holdings Ltd.,HKD
0103.KL,MNC WIRELESS BHD,MYR
0104.HK,N/A,HKD
0104.KL,GENETEC TECHNOLOGY BERHAD,MYR
010420.KS,Hansol PNS Co Ltd,KRW
0105.HK,Associated International Hotels Limited,HKD
0105.KL,ASIA POLY HOLDINGS BHD,MYR
010580.KS,"Jico Co., Ltd.",KRW
0106.HK,Landsea Green Group Co Ltd,HKD
0106.KL,REXIT BHD,MYR
010600.KS,WellBiotec Co Ltd,KRW
010620.KS,"Hyundai Mipo Dockyard Co., Ltd.",KRW
010640.KS,Chinyang Poly Urethane Co Ltd,KRW
010690.KS,Hwashin Co Ltd,KRW
0107.HK,SICHUAN EXPWY/Shs H Vtg 1.00,HKD
0107.KL,EDUSPEC HOLDINGS BERHAD,MYR
010770.KS,Pyung Hwa Holdings Co Ltd,KRW
010780.KS,"IS DONGSEO CO., LTD.",KRW
0108.HK,GR Properties Ltd,HKD
0108.KL,N2N CONNECT BHD,MYR
010820.KS,Firstec Co Ltd,KRW
0109.HK,Good Resources Holdings Ltd,HKD
0109.KL,SC ESTATE BUILDER BERHAD,MYR
010955.KS,S Oil Corp Preference Shares,KRW
0110.HK,China Fortune Holdings Limited,HKD
011000.KS,Gene One Life Science Inc,KRW
011070.KS,"LG Innotek Co., Ltd.",KRW
011090.KS,"Enex Co., Ltd.",KRW
0111.HK,Cinda International Holdings Ltd,HKD
0111.KL,K-ONE TECHNOLOGY BHD,MYR
011150.KS,CJ Seafood Corp,KRW
011155.KS,CJ Seafood Corp Preference Shares,KRW
011160.KS,Doosan Engineering & Construction Co Ltd,KRW
011170.KS,Lotte Chemical Corp,KRW
0112.HK,LT Commercial Real Estate Ltd,HKD
0112.KL,MIKRO MSC BERHAD,MYR
011200.KS,Hyundai Merchant Marine Co Ltd,KRW
